,Designator,Quantity,Comment,Link,ENTIRE PRICE WITH FREIGHT:,,,
1,"TFT Screen 3.5"" st7796 320*480 ips ",1,"TFT Screen 3.5"" st7796 320*480 ips Touch",https://pt.aliexpress.com/item/1005005995931721.html?spm=a2g0o.order_list.order_list_main.31.288ecaa4EGynx2&gatewayAdapt=glo2bra,"R$ 90,84 (PAID BY MY OWN)",,,
2,ESP32 S3 8mb PSRAM 16mb Flash,1,ESP32-S3-DevKitC-1 ,https://pt.aliexpress.com/item/1005007215982839.html?spm=a2g0o.order_list.order_list_main.46.288ecaa4EGynx2&gatewayAdapt=glo2bra,"R$ 63,38 (PAID BY MY OWN)",,,
3,Aliexpress parts,1,Pin Headers 1x15 and 1x6; Flat Cable Socket Bottom Connector 14pins; Screws M3x6mm Allen; Push Buttons 6x6x5mm,(Cart image at repo: cart/aliexpress.png,"R$ 129,76",,,
4,3D Print,2,3D Print Case,~,"$18,00",,,
5,PCB,5,PCB Manufacture Process,~,"$41,25",,,PRICE FOR 1 COMPUTER
6,Pixy Mini 5000mah Power  Bank,1,Pixy Mini 5000mah Power  Bank,https://futurizta.com/products/smallest-5000mah-usb-c-power-bank,$25.00 (PAID BY ME),,R$,"431,94"
,,,,,,,USD,"84,7"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,*PAID BY MY OWN was not added to the price
,,,,,NOTE: THE PCB PRICES WERE CALCULATED: THE PRICE + FREIGHT DIVIDED BY THE 2 PCBS,,,
