Designator,Val,Package,MidX,MidY,Rotation,Layer
PinHeader_1,PinHeader_1x07_P2.54mm_Vertical,PinHeader_1x07_P2.54mm_Vertical,84.710000,-122.590000,270,Bottom
PinHeader_2,PinHeader_1x07_P2.54mm_Vertical,PinHeader_1x07_P2.54mm_Vertical,84.710000,-126.130000,270,Bottom
a,SW_PUSH_6mm,SW_PUSH_6mm,84.500000,-99.000000,0.000000,Top
b,SW_PUSH_6mm,SW_PUSH_6mm,138.500000,-111.000000,0.000000,Top
c,SW_PUSH_6mm,SW_PUSH_6mm,111.500000,-111.000000,0.000000,Top
d,SW_PUSH_6mm,SW_PUSH_6mm,111.500000,-99.000000,0.000000,Top
e,SW_PUSH_6mm,SW_PUSH_6mm,111.500000,-87.000000,0.000000,Top
enter,SW_PUSH_6mm,SW_PUSH_6mm,206.000000,-111.000000,0.000000,Top
f,SW_PUSH_6mm,SW_PUSH_6mm,125.000000,-99.000000,0.000000,Top
fun,SW_PUSH_6mm,SW_PUSH_6mm,192.500000,-111.000000,0.000000,Top
g,SW_PUSH_6mm,SW_PUSH_6mm,138.500000,-99.000000,0.000000,Top
h,SW_PUSH_6mm,SW_PUSH_6mm,152.000000,-99.000000,0.000000,Top
i,SW_PUSH_6mm,SW_PUSH_6mm,179.000000,-87.000000,0.000000,Top
j,SW_PUSH_6mm,SW_PUSH_6mm,165.500000,-99.000000,0.000000,Top
k,SW_PUSH_6mm,SW_PUSH_6mm,179.000000,-99.000000,0.000000,Top
l,SW_PUSH_6mm,SW_PUSH_6mm,192.500000,-99.000000,0.000000,Top
m,SW_PUSH_6mm,SW_PUSH_6mm,179.000000,-111.000000,0.000000,Top
n,SW_PUSH_6mm,SW_PUSH_6mm,165.500000,-111.000000,0.000000,Top
o,SW_PUSH_6mm,SW_PUSH_6mm,192.500000,-87.000000,0.000000,Top
p,SW_PUSH_6mm,SW_PUSH_6mm,206.000000,-87.000000,0.000000,Top
q,SW_PUSH_6mm,SW_PUSH_6mm,84.500000,-87.000000,0.000000,Top
r,SW_PUSH_6mm,SW_PUSH_6mm,125.000000,-87.000000,0.000000,Top
ret,SW_PUSH_6mm,SW_PUSH_6mm,206.000000,-99.000000,0.000000,Top
s,SW_PUSH_6mm,SW_PUSH_6mm,98.000000,-99.000000,0.000000,Top
space,SW_PUSH_6mm,SW_PUSH_6mm,152.000000,-111.000000,0.000000,Top
t,SW_PUSH_6mm,SW_PUSH_6mm,138.500000,-87.000000,0.000000,Top
u,SW_PUSH_6mm,SW_PUSH_6mm,165.500000,-87.000000,0.000000,Top
v,SW_PUSH_6mm,SW_PUSH_6mm,125.000000,-111.000000,0.000000,Top
w,SW_PUSH_6mm,SW_PUSH_6mm,98.000000,-87.000000,0.000000,Top
x,SW_PUSH_6mm,SW_PUSH_6mm,98.000000,-111.000000,0.000000,Top
y,SW_PUSH_6mm,SW_PUSH_6mm,152.000000,-87.000000,0.000000,Top
z,SW_PUSH_6mm,SW_PUSH_6mm,84.500000,-111.000000,0.000000,Top
