Id,Designator,Footprint,Quantity,Comment,JLCPCB Part #,Link
1,a,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83205
2,b,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83206
3,c,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83207
4,d,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83208
5,e,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83209
6,f,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83210
7,g,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83211
8,h,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83212
9,i,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83213
10,j,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83214
11,k,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83215
12,l,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83216
13,m,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83217
14,n,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83218
15,o,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83219
16,p,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83220
17,q,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83221
18,r,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83222
19,s,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83223
20,t,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83224
21,u,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83225
22,v,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83226
23,w,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83227
24,x,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83228
25,y,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83229
26,z,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83230
27,ret,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83231
28,enter,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83232
29,fun,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83233
30,space,SW_PUSH_6mm,1,SW_PUSH_6mm,C83205,https://jlcpcb.com/partdetail/Korean_HropartsElec-K2_6639DP_B4SW04/C83234
31,PinHeader_1,PinHeader_1x07_P2.54mm_Vertical,1,PinHeader_1x07_P2.54mm_Vertical,C3348963,https://jlcpcb.com/partdetail/Samtec-Samtec_MTSW_107_22_G_S375/C3348963
32,PinHeader_2,PinHeader_1x07_P2.54mm_Vertical,1,PinHeader_1x07_P2.54mm_Vertical,C3348963,https://jlcpcb.com/partdetail/Samtec-Samtec_MTSW_107_22_G_S375/C3348963
