Designator,MidX,MidY,Layer,Rotation
ESP32PinSocket_1,212.290000,-82.000000,Bottom,90.000000
ESP32PinSocket_2,212.240000,-107.500000,Bottom,90.000000
FlatCableSocket,91.850000,-81.650000,Top,180.000000
a,84.500000,-99.000000,Top,0.000000
b,138.500000,-111.000000,Top,0.000000
c,111.500000,-111.000000,Top,0.000000
d,111.500000,-99.000000,Top,0.000000
e,111.500000,-87.000000,Top,0.000000
enter,206.000000,-111.000000,Top,0.000000
f,125.000000,-99.000000,Top,0.000000
fun,192.500000,-111.000000,Top,0.000000
g,138.500000,-99.000000,Top,0.000000
h,152.000000,-99.000000,Top,0.000000
i,179.000000,-87.000000,Top,0.000000
j,165.500000,-99.000000,Top,0.000000
k,179.000000,-99.000000,Top,0.000000
l,192.500000,-99.000000,Top,0.000000
m,179.000000,-111.000000,Top,0.000000
n,165.500000,-111.000000,Top,0.000000
o,192.500000,-87.000000,Top,0.000000
p,206.000000,-87.000000,Top,0.000000
q,84.500000,-87.000000,Top,0.000000
r,125.000000,-87.000000,Top,0.000000
ret,206.000000,-99.000000,Top,0.000000
s,98.000000,-99.000000,Top,0.000000
space,152.000000,-111.000000,Top,0.000000
t,138.500000,-87.000000,Top,0.000000
u,165.500000,-87.000000,Top,0.000000
v,125.000000,-111.000000,Top,0.000000
w,98.000000,-87.000000,Top,0.000000
x,98.000000,-111.000000,Top,0.000000
y,152.000000,-87.000000,Top,0.000000
z,84.500000,-111.000000,Top,0.000000
